us_nsw_wknd_7day_avg,us_vic_wknd_7day_avg,ds_nsw_wknd_7day_avg,ds_vic_wknd_7day_avg,cases_nsw_wknd_7day_avg,cases_vic_7day_avg
19463759.7010133,23552682.213499,228092001.639491,257053880.324293,12.4285714285714,316.428571428571
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,11.2857142857143,310.142857142857
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,8.57142857142857,295.428571428571
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,7.57142857142857,268
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,6.42857142857143,264.428571428571
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,5.14285714285714,237.285714285714
19132934.263085,23761923.3528567,226459272.370863,267663039.302128,5.14285714285714,219
19363354.6379889,24658760.1666298,232156574.463151,286206830.403561,4.57142857142857,209.714285714286
19357855.8371818,24771066.198147,227566853.186023,280331252.991853,4.28571428571429,187.285714285714
19357855.8371818,24771066.198147,227566853.186023,280331252.991853,4.42857142857143,177
19357855.8371818,24771066.198147,227566853.186023,280331252.991853,4.14285714285714,167.571428571429
19357855.8371818,24771066.198147,227566853.186023,280331252.991853,5.57142857142857,150.285714285714
